Scopus-70378-Analyze-Year

"Your query : (TITLE-ABS-KEY(data analytics))"


Number of results : 70378

"YEAR",
"2022","2036"
"2021","14230"
"2020","13088"
"2019","9926"
"2018","7458"
"2017","6176"
"2016","4904"
"2015","4247"
"2014","2916"
"2013","1806"
"2012","1064"
"2011","691"
"2010","520"
"2009","376"
"2008","302"
"2007","207"
"2006","130"
"2005","79"
"2004","54"
"2003","28"
"2002","19"
"2001","16"
"2000","14"
"1999","16"
"1998","8"
"1997","7"
"1996","9"
"1995","4"
"1994","11"
"1993","5"
"1992","4"
"1991","3"
"1990","3"
"1989","3"
"1988","1"
"1987","5"
"1986","1"
"1984","1"
"1983","1"
"1982","1"
"1979","1"
"1977","1"
"1976","1"
"1974","2"
"1972","1"
"1963","1"
"1930","1"
