Scopus-18667-Analyze-Year

"Your query : (TITLE-ABS-KEY(data analytics predictive))"


Number of results : 18667

"YEAR",
"2022","464"
"2021","6000"
"2020","5219"
"2019","1895"
"2018","1104"
"2017","861"
"2016","584"
"2015","997"
"2014","719"
"2013","256"
"2012","124"
"2011","91"
"2010","99"
"2009","75"
"2008","40"
"2007","26"
"2006","19"
"2005","25"
"2004","9"
"2003","11"
"2002","6"
"2001","6"
"2000","10"
"1999","4"
"1998","5"
"1997","2"
"1996","3"
"1995","1"
"1994","5"
"1993","1"
"1992","2"
"1989","2"
"1987","1"
"1982","1"
